00a_B -24.5911831604 -24.5195415700 -24.59118402
00a_C -37.8175301497 -37.7049500600 -37.81752914
00a_Cl -459.8164693194 -459.5636447700 -459.81646903
00a_F -99.7917720459 -99.4282824400 -99.79177272
00a_H -0.5179192950 -0.4867802800 -0.51791996
00a_N -54.4864415770 -54.3248989500 -54.48646412
00a_O -75.0439540802 -74.7773727000 -75.04394012
00a_P -340.8342001200 -340.6965082500 -340.83419334
00a_S -397.7249978609 -397.5325840800 -397.72499711
00a_Si -288.9737889281 -288.8827606700 -288.97378911
00_B -24.5824687674 -24.5305737743 -24.58247440
00_C -37.7696826753 -37.6877632674 -37.76967599
00c_B -24.2772190050 -24.2350137300 -24.27722213
00c_C -37.3543010529 -37.2902525800 -37.35430389
00_Cl -459.6772507891 -459.4727811410 -459.67725101
00c_N -53.9761858213 -53.8812645700 -53.97618282
00c_O -74.4906754688 -74.3534980100 -74.49067745
00c_P -340.4247534357 -340.3445574900 -340.42475038
00c_S -397.2749861108 -397.1597724700 -397.27498920
00c_Si -288.6239460829 -288.5697511700 -288.62394618
00_F -99.6532017218 -99.3810917930 -99.65320172
00_H -0.4999825170 -0.4993343154 -0.49998520
00_N -54.5142366754 -54.3931833896 -54.51424856
00_O -74.9870496954 -74.7966007544 -74.98704344
00_P -340.8123598120 -340.7099574070 -340.81236368
00_S -397.6486547074 -397.4987399960 -397.64866378
00_Si -288.9214171101 -288.8509361600 -288.92142352
01_B2 -49.1992943397 -49.0324570200 -49.19929612
01_BH -25.2133147029 -25.1264236800 -25.21328482
01_C2 -75.7909506762 -75.3883411600 -75.79094630
01_CH -38.3984957447 -38.2754297100 -38.39850854
01_Cl2 -919.4555093575 -918.9656605100 -919.45550815
01_ClH -460.3493367720 -460.0926155000 -460.34933633
01_F2 -199.3769160263 -198.7016608100 -199.37691675
01_FH -100.3869641396 -100.0331491200 -100.38696433
01_H2 -1.1677226781 -1.1288088500 -1.16771457
01_N2 -109.4105419020 -108.9612882700 -109.41054643
